scientificName
Cypselocarpus haloragoides
Cyrilla coriacea
Cyrilla cubensis
Cyrilla lutgardae
Cyrilla macrocarpa
Cyrilla megaphylla
Cyrilla microareolata
Cyrilla nipensis
Cyrilla nitidissima
Cyrilla racemiflora
Cyrilla silvae
Cyrillopsis micrantha
Cyrillopsis paraensis
Cyrtandra aclada
Cyrtandra acutangula
Cyrtandra adnata
Cyrtandra aeruginosa
Cyrtandra agrihanensis
Cyrtandra agusanensis
Cyrtandra alata
Cyrtandra albertisi
Cyrtandra albibracteata
Cyrtandra alnea
Cyrtandra alnifolia
Cyrtandra aloisiana
Cyrtandra alvarezii
Cyrtandra ambigua
Cyrtandra amicta
Cyrtandra ammitophila
Cyrtandra ampla
Cyrtandra amplifolia
Cyrtandra andersonii
Cyrtandra aneiteensis
Cyrtandra angularis
Cyrtandra angustielliptica
Cyrtandra angustivenosa
Cyrtandra anisophylla
Cyrtandra anisopoda
Cyrtandra anthropophagorum
Cyrtandra antoniana
Cyrtandra antuana
Cyrtandra apaensis
Cyrtandra apiculata
Cyrtandra apoensis
Cyrtandra arachnoidea
Cyrtandra arborescens
Cyrtandra arbuscula
Cyrtandra areolata
Cyrtandra arfakensis
Cyrtandra argentata
Cyrtandra arguta
Cyrtandra asikii
Cyrtandra atherocalyx
Cyrtandra athrocarpa
Cyrtandra atomigyna
Cyrtandra atrichoides
Cyrtandra atrichos
Cyrtandra atropurpurea
Cyrtandra attenuata
Cyrtandra augusti
Cyrtandra aundensis
Cyrtandra aurantiaca
Cyrtandra aurantiicarpa
Cyrtandra aurea
Cyrtandra aureosericea
Cyrtandra aureotincta
Cyrtandra auriculata
Cyrtandra axillantha
Cyrtandra axillaris
Cyrtandra axilliflora
Cyrtandra baeotricha
Cyrtandra baileyi
Cyrtandra banyingii
Cyrtandra barbata
Cyrtandra barnesii
Cyrtandra basiflora
Cyrtandra basipartita
Cyrtandra bataanensis
Cyrtandra bataviensis
Cyrtandra beamanii
Cyrtandra beccarii
Cyrtandra beckmanni
Cyrtandra begonioides
Cyrtandra behrmanniana
Cyrtandra benaratica
Cyrtandra benguetiana
Cyrtandra bicolor
Cyrtandra bidwillii
Cyrtandra biflora
Cyrtandra biserrata
Cyrtandra bismarckiensis
Cyrtandra bracheia
Cyrtandra bracteata
Cyrtandra brevicaulis
Cyrtandra breviflora
Cyrtandra brevisetosa
Cyrtandra brownii
Cyrtandra bruteliana
Cyrtandra bryophila
Cyrtandra buergersiana
Cyrtandra bullata
Cyrtandra bullifolia
Cyrtandra burbidgei
Cyrtandra burleyana
Cyrtandra burttii
Cyrtandra calciphila
Cyrtandra callicarpifolia
Cyrtandra calpidicarpa
Cyrtandra calycina
Cyrtandra calyptribracteata
Cyrtandra campanulata
Cyrtandra capitellata
Cyrtandra carinata
Cyrtandra castanea
Cyrtandra caudata
Cyrtandra caudatisepala
Cyrtandra caulescens
Cyrtandra cauliflora
Cyrtandra cephalophora
Cyrtandra ceratocalyx
Cyrtandra cerea
Cyrtandra chaiana
Cyrtandra chalcodea
Cyrtandra chavis-insectorum
Cyrtandra chippendalei
Cyrtandra chiritoides
Cyrtandra chlamydocalyx
Cyrtandra chlorantha
Cyrtandra christophersenii
Cyrtandra chrysalabastrum
Cyrtandra chrysea
Cyrtandra ciliata
Cyrtandra cladantha
Cyrtandra clarkei
Cyrtandra cleopatrae
Cyrtandra coacta
Cyrtandra coccinea
Cyrtandra coleoides
Cyrtandra comocarpa
Cyrtandra compressa
Cyrtandra confertiflora
Cyrtandra confusa
Cyrtandra congestiflora
Cyrtandra connata
Cyrtandra conradtii
Cyrtandra consimilis
Cyrtandra constricta
Cyrtandra copelandii
Cyrtandra cordifolia
Cyrtandra corniculata
Cyrtandra crassifolia
Cyrtandra crassior
Cyrtandra crenata
Cyrtandra cretacea
Cyrtandra crockerella
Cyrtandra crockeriana
Cyrtandra cryptantha
Cyrtandra cumingii
Cyrtandra cuminsii
Cyrtandra cuneata
Cyrtandra cuprea
Cyrtandra cupulata
Cyrtandra cupuliformis
Cyrtandra curranii
Cyrtandra cyaneoides
Cyrtandra cyathibracteata
Cyrtandra cyclopum
Cyrtandra cylindrocalyx
Cyrtandra cymosa
Cyrtandra dallasensis
Cyrtandra dasymallos
Cyrtandra davaoensis
Cyrtandra debilis
Cyrtandra decipiens
Cyrtandra decurrens
Cyrtandra decussata
Cyrtandra deinandra
Cyrtandra denhami
Cyrtandra dentata
Cyrtandra detzneriana
Cyrtandra digitaliflora
Cyrtandra dilatata
Cyrtandra dinocalyx
Cyrtandra diplotricha
Cyrtandra dispar
Cyrtandra disparifolia
Cyrtandra disparoides
Cyrtandra dissimilis
Cyrtandra disticha
Cyrtandra divertae
Cyrtandra dolichocalyx
Cyrtandra dolichocarpa
Cyrtandra dolichopoda
Cyrtandra dorytricha
Cyrtandra dubiosa
